,Geschlecht,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pl1,pl2,pl3,pl4,pl5,pl6,pl7,pl8,pl9,pl10,pl11,pl12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
62,2,5,3,5,4,5,1,3,4,2,6,3,4,1,2,4,3,3,2,1,1,4,1,1,4,4,2,1,1,5,5,2,2,1,4,4,3
63,1,5,2,6,2,2,5,3,5,3,5,2,5,2,5,4,2,3,1,5,5,3,3,3,4,5,4,5,2,4,3,2,2,3,2,3,2
64,2,4,2,5,4,3,2,5,4,3,5,3,4,5,2,4,2,1,3,3,2,4,2,2,4,4,3,3,2,4,4,3,4,3,3,4,3
65,1,5,1,5,4,4,2,5,5,3,6,3,4,1,1,5,2,3,1,1,3,6,3,1,5,2,2,4,4,3,4,5,5,2,2,4,3
66,1,5,3,4,4,3,2,3,4,3,6,3,3,3,2,5,2,3,2,1,1,5,2,2,6,5,2,1,3,5,5,3,3,2,2,3,3
67,1,4,2,5,5,2,3,4,3,3,6,3,5,3,5,5,3,2,3,3,5,5,3,3,3,4,4,3,2,5,4,5,3,2,2,5,4
68,1,5,5,5,4,4,3,4,5,3,6,3,4,3,2,5,1,4,1,1,3,5,1,2,6,3,2,3,1,3,4,3,3,1,3,3,3
69,2,4,3,5,4,5,2,3,5,2,5,3,3,1,2,4,2,2,1,2,3,3,2,2,3,3,2,2,2,4,5,2,3,2,4,4,2
70,1,6,3,5,3,2,3,3,2,1,6,2,3,4,2,6,3,2,2,2,4,5,2,2,5,3,4,2,4,4,3,3,4,2,3,5,5
71,2,5,1,6,5,6,1,6,6,1,6,2,6,1,1,4,1,2,1,3,3,3,4,1,5,3,2,1,1,6,6,1,1,1,4,3,1
72,1,5,4,5,3,4,2,2,3,3,4,3,3,2,2,4,2,3,4,3,3,3,1,2,4,5,2,1,1,5,6,2,1,1,4,3,2
73,1,4,2,5,3,4,3,4,4,3,5,3,5,1,1,4,1,2,1,2,4,6,2,1,6,3,3,3,5,3,3,3,3,2,3,3,2
74,2,4,2,5,6,6,1,5,5,2,6,2,4,2,3,2,1,2,1,1,1,2,2,2,4,4,3,1,2,5,5,2,2,3,4,4,2
75,1,6,4,4,3,5,4,4,4,4,4,2,3,1,3,4,3,2,2,3,4,5,3,2,5,3,2,3,2,4,4,3,3,2,3,4,4
76,1,4,3,5,5,5,2,3,4,2,6,3,3,3,2,4,2,2,2,4,4,3,2,3,5,1,1,2,2,6,4,2,2,3,3,2,4
77,1,4,4,5,6,4,2,3,5,2,5,2,4,2,2,4,1,2,1,1,3,5,3,4,4,1,2,1,1,5,5,5,2,1,3,2,3
78,1,6,2,5,5,5,2,5,5,3,5,3,4,2,4,6,2,2,2,2,3,4,2,3,4,4,2,2,2,3,6,3,3,2,3,4,2
79,1,4,3,4,3,2,3,3,4,2,4,3,3,2,2,4,2,3,2,2,2,4,2,2,4,4,3,4,2,3,3,3,2,5,3,4,4
80,2,4,3,4,4,3,3,3,4,3,5,3,3,1,2,4,1,2,2,2,2,5,3,2,5,4,2,2,3,5,4,2,3,2,3,3,2
81,2,4,2,5,4,5,3,5,5,3,6,3,5,3,2,4,1,1,1,1,2,3,2,2,3,5,2,2,3,6,5,2,2,1,4,3,2
82,1,3,4,4,4,4,3,4,3,3,4,3,2,3,2,4,2,2,3,2,2,4,2,2,5,3,4,2,2,3,4,3,3,2,3,3,3
